CustomerId,R_score,F_score,M_score,Cluster_Label,Customer_Category
Cust-22086,43.70015,58.376,79.37,3,4. At Risk
Cust-22087,35.06419,72.023,66.11,3,4. At Risk
Cust-22088,55.67442,96.329,98.116,2,3. Need Attention
Cust-22089,68.86051,77.236,34.763,4,2. Potential Loyal
Cust-22090,53.08163,87.024,88.21,2,3. Need Attention
Cust-22091,65.45216,41.855,35.563,1,6. Dormant
Cust-22092,76.3707,87.727,79.113,5,1. Loyal
Cust-22093,76.98712,84.536,87.418,5,1. Loyal
Cust-22094,36.33807,30.522,62.01,6,5. One-Time Buy
Cust-22095,36.54321,30.522,25.59,1,6. Dormant
Cust-22096,37.12862,16.241,59.986,6,5. One-Time Buy
Cust-22097,57.55271,63.962,26.162,1,6. Dormant
Cust-22098,53.35882,68.422,54.928,3,4. At Risk
Cust-22099,33.46609,16.241,8.552,0,7. Lost
Cust-22100,35.8027,77.236,85.3,2,3. Need Attention
Cust-22101,74.60448,68.422,35.933,4,2. Potential Loyal
Cust-22102,47.14153,74.91,79.268,2,3. Need Attention
Cust-22103,69.57801,84.536,82.13,2,3. Need Attention
Cust-22104,84.23512,41.855,51.224,4,2. Potential Loyal
Cust-22105,39.78445,58.376,34.828,3,4. At Risk
Cust-22106,35.2243,30.522,38.693,6,5. One-Time Buy
Cust-22107,36.13293,30.522,34.349,6,5. One-Time Buy
Cust-22108,76.98712,77.236,86.36,5,1. Loyal
Cust-22109,35.2243,30.522,49.833,6,5. One-Time Buy
Cust-22110,34.87506,51.272,51.579,3,4. At Risk
Cust-22111,42.93763,63.962,23.959,1,6. Dormant
Cust-22112,89.7049,41.855,82.636,4,2. Potential Loyal
Cust-22113,34.07151,30.522,53.178,6,5. One-Time Buy
Cust-22114,37.12862,16.241,23.971,0,7. Lost
Cust-22115,34.47679,82.337,88.75,2,3. Need Attention
Cust-22116,95.658,51.272,47.385,4,2. Potential Loyal
Cust-22117,82.14568,74.91,59.637,4,2. Potential Loyal
Cust-22118,37.5389,41.855,44.918,3,4. At Risk
Cust-22119,74.60448,95.13,90.662,5,1. Loyal
Cust-22120,34.07151,51.272,64.796,3,4. At Risk
Cust-22121,35.5085,16.241,13.797,0,7. Lost
Cust-22122,66.33477,58.376,52.623,4,2. Potential Loyal
Cust-22123,37.34277,30.522,13.298,1,6. Dormant
Cust-22124,96.74475,41.855,30.243,4,2. Potential Loyal
Cust-22125,44.61378,68.422,75.331,2,3. Need Attention
Cust-22126,35.96081,16.241,1.487,0,7. Lost
Cust-22127,34.47679,30.522,14.846,0,7. Lost
Cust-22128,79.1346,72.023,70.898,4,2. Potential Loyal
Cust-22129,92.09054,41.855,70.167,4,2. Potential Loyal
Cust-22130,45.23221,41.855,46.855,3,4. At Risk
Cust-22131,35.37741,51.272,46.959,3,4. At Risk
Cust-22132,35.6476,30.522,54.588,6,5. One-Time Buy
Cust-22133,36.74035,30.522,83.798,3,4. At Risk
Cust-22134,36.74035,63.962,64.135,3,4. At Risk
Cust-22135,99.68478,79.162,63.113,5,1. Loyal
